,,,,,,,
,,,,,,,
,Item ,Quantity,Colour ,Notes,Location,Item Number,Pictures
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Phillips TV,1,,,BlackSuitcase,1,TRUE
,Phillips Remote,1,,,BlackSuitcase,2,TRUE
,Grey shorts H&M,1,,,BlackSuitcase,3,
,Black Football socks ,1,,,BlackSuitcase,4,TRUE
,Face steam ,1,,,BlackSuitcase,5,
,2.1m tripod,1,,,BlackSuitcase,6,
,TV Stand ,,,,BlackSuitcase,7,TRUE
,PS4 console,,Black,,BlackSuitcase,8,TRUE
,Long USB Cable PS4,,,,BlackSuitcase,9,TRUE
,HDMI wire,2,,,BlackSuitcase,10,TRUE
,8 figure cable,,,,BlackSuitcase,11,TRUE
,Battlefield game ,,,,BlackSuitcase,12,TRUE
,NBA 2K ,,,,BlackSuitcase,13,
,Micellar water,,,,BlackSuitcase,14,
,MIDI Keyboard,,,,InLockup,15,TRUE
,Tiger stand ,,,,InLockup,16,
,Hats ,,,***,InLockup,17,
,Jumpers,,,***,InLockup,18,
,Moncler bag ,,,,InLockup,19,
,Ski hats ,,,,InLockup,20,
,Logitech speakers,,,,RalphLaurenBag,21,
,Microphone ,,,,RalphLaurenBag,22,
,Wire F2M,,,5M 3.5MM,RalphLaurenBag,23,
,Apple USB ,,,,RalphLaurenBag,24,
,HDMI extender,,,,RalphLaurenBag,25,
,USB to Mic,,,,RalphLaurenBag,26,TRUE
,Christmas lights,,,,RalphLaurenBag,27,
,Bluetooth adapter ,,,,RalphLaurenBag,28,
,Mouse adapter,,,,RalphLaurenBag,29,
,Micro USB to thunderbolt ,,,,RalphLaurenBag,30,
,3.5mm to 6mm adapter,,,,RalphLaurenBag,31,
,Flash drive ,,,,RalphLaurenBag,32,
,Tighten,,,,RalphLaurenBag,33,
,3.5mm to 3.5mm female,,,,RedBox,34,
,UK to figure8,,,,RedBox,35,
,Digital out wire,,,,RedBox,36,
,USB-C wire,,,,RedBox,37,
,Lightbulb,,,,RedBox,38,
,Xbox one controller,,,,RedBox,39,
,HP Laptop charger,,,,RedBox,40,
,Mouse caseflex,,,,RedBox,41,
,VGA Cable,,,,RedBox,42,
,Nokia charger,,,,RedBox,43,
,Apple iPhone wire ,,,,RedBox,44,
,3.5mm male to male headphone wire,,,,RedBox,45,
,USB PS4 wire,,,,RedBox,46,
,AC/DC adapter,,,,RedBox,47,
,Samsung plug ,,,,RedBox,48,
,Mixer,,,,RedBox,49,
,Digital to analog audio converter ,,,,RedBox,50,
,Samsung box with various items ,,,,RedBox,51,
,WiFi Repeater,,,,RedBox,52,
,Remote ,,,,RedBox,53,
,Lock from shurgard ,,,,RedBox,54,
,Card notes,,,,RedBox,55,
,Dry cloth ,,,,ArmaniBag,56,
,Mirror ,,,,ArmaniBag,57,
,Tweezers ,,,,ArmaniBag,58,
,Black bag ,,,,ArmaniBag,59,
,Lightbulb ,,,,ArmaniBag,60,
,Extender cube ,,,,ArmaniBag,61,TRUE
,Brush ,,,,ArmaniBag,62,
,Nivea cream ,,,,ArmaniBag,63,
,Carex hand wash,,,,ArmaniBag,64,
,Toenail clippers,,,,ArmaniBag,65,
